participant,questionnaire1,application_install,questionnaire_2,estimuli,device,city
1,2017-09-05T11:45:00.000Z,2017-09-05T12:20:00.000Z,2017-09-22T14:00:00.000Z,N,1adf6bdbbb6f317b,Münster
2,2017-09-06T17:15:00.000Z,2017-09-06T17:30:00.000Z,2017-09-21T14:45:00:00.000Z,Y,14571aeb92ef00fd,Münster
3,2017-09-08T10:49:00.000Z,2017-09-08T10:55:00.000Z,2017-10-03T14:45:00:00.000Z,N,3c486c2ade399b97,Münster
4,2017-09-08T14:17:00.000Z,2017-09-08T17:14:20.000Z,2017-09-21T17:15:25.000Z,Y,b9508c016f700eea,Münster
5,2017-09-08T16:00:00.000Z,2017-09-08T16:10:00.000Z,2017-09-26T13:00:00.000Z,Y,e2ff1ed10162056f,Münster
6,2017-09-09T19:00:00.000Z,2017-09-09T19:05:00.000Z,2017-09-22T19:00:00.000Z,Y,677751866a44e3e4,Münster
7,2017-09-14T11:15:00.000Z,2017-09-14T11:20:00.000Z,2017-09-26T12:00:00.000Z,Y,fe0df20f83b53497,Münster
8,2017-09-14T11:30:00.000Z,2017-09-14T11:35:00.000Z,2017-09-21T12:00:00.000Z,Y,8449b1811700bd63,Münster
9,2017-09-14T11:40:00.000Z,2017-09-14T11:48:00.000Z,2017-09-21T12:00:00.000Z,Y,b79e8050cbbd7aef,Münster
10,2017-09-14T14:19:00.000Z,2017-09-14T14:22:00.000Z,,N,e38875a892ad09ae,Münster
11,2017-09-14T15:40:00.000Z,2017-09-14T15:47:00.000Z,2017-09-21T12:00:00.000Z,Y,2c79f48071c39536,Münster
12,2017-09-14T16:50:00.000Z,2017-09-14T17:00:00.000Z,2017-09-22T10:10:00.000Z,Y,158fada61da39e8d,Münster
13,2017-09-15T10:15:00.000Z,2017-09-15T10:30:00.000Z,2017-09-21T11:55:00.000Z,Y,b1ac5766b362c9b0,Münster
14,2017-09-15T13:30:00.000Z,2017-09-15T13:48:00.000Z,2017-09-22T15:00:00.000Z,Y,,Münster
15,2017-09-15T13:35:00.000Z,2017-09-15T13:53:00.000Z,2017-09-22T15:00:00.000Z,Y,e9236012d1f3b712,Münster
16,2017-09-15T14:00:00.000Z,2017-09-15T14:10:00.000Z,2017-09-21T12:20:00.000Z,Y,580e8671042d7e43,Münster
