"_created_at"	_id	_updated_at	device	tag_count	text	trip_count
2017-08-14T10:27:27.964Z	RDmXy8fj20	2017-08-14T10:27:38.944Z	abc123		tag	1
2017-08-14T10:27:52.342Z	oWnM8aNnZH	2017-08-14T19:15:24.138Z	abc123	1	tag1	1
2017-10-17T16:25:57.206Z	uGxfSQanhU	2017-10-17T16:25:57.206Z	9735960789aa8b49	1	Quick	1
2017-10-17T16:25:57.414Z	cYVq8a3Tez	2017-10-17T16:25:57.414Z	9735960789aa8b49	2	Moderated	1
2017-10-18T09:14:42.440Z	p6ThLSJhXl	2017-10-18T09:14:42.440Z	14a96735022e788e	1	Sin Conexión	1
2017-10-18T09:14:42.684Z	eo5wlEkTsT	2017-10-18T09:14:42.684Z	14a96735022e788e	2	Concurrido	1
2017-10-18T09:14:43.063Z	yB0W9aakFe	2017-10-18T09:14:43.063Z	14a96735022e788e	3	Veloz	1
2017-10-18T09:51:58.247Z	67FTP5K2dI	2017-10-18T09:51:58.247Z	756256df825745c	1	Suficiente	4
2017-10-18T09:51:58.482Z	YMKM8bqIYI	2017-10-18T09:51:58.482Z	756256df825745c	2	Suave	4
2017-10-18T09:51:58.706Z	nVAkWOFfTa	2017-10-18T09:51:58.706Z	756256df825745c	3	Moderado	4
2017-10-18T09:52:51.472Z	UjbZDWdzqy	2017-10-18T09:52:51.472Z	14a96735022e788e	4	Eficiente	2
2017-10-18T09:52:51.692Z	7SbvpBRqAn	2017-10-18T09:52:51.692Z	14a96735022e788e	5	Rápido	2
2017-10-18T09:52:51.872Z	FYXHAkouDA	2017-10-18T09:52:51.872Z	14a96735022e788e	6	Confiable	2
2017-10-19T06:41:22.916Z	A2ax3keb0h	2017-10-19T06:41:22.916Z	e9d8d40f54eb35e6	1	Normal	3
2017-10-19T06:41:23.090Z	ps1NKVoO5q	2017-10-19T06:41:23.090Z	e9d8d40f54eb35e6	2	Confiable	3
2017-10-19T08:12:35.156Z	74C2UWrRBf	2017-10-19T08:12:35.156Z	43719b7c983f3578	20	Worthy	5
2017-10-19T08:12:35.345Z	NwytnbbNu8	2017-10-19T08:12:35.345Z	43719b7c983f3578	21	Fast	5
2017-10-19T10:39:01.956Z	ETjYDRbLTy	2017-10-19T10:39:01.956Z	e9d8d40f54eb35e6	3	Adecuado	4
2017-10-19T10:39:02.123Z	6tUI5ZjrS1	2017-10-19T10:39:02.123Z	e9d8d40f54eb35e6	4	Moderado	4
2017-10-19T13:10:38.324Z	FxZ23jeCL5	2017-10-19T13:10:38.324Z	11adcf0f63a00175	1	Promedio	3
2017-10-19T13:10:38.605Z	mF9Akfkwhx	2017-10-19T13:10:38.605Z	11adcf0f63a00175	2	Seguro	3
2017-10-19T13:10:38.835Z	Hl11jBkmHA	2017-10-19T13:10:38.835Z	11adcf0f63a00175	3	Veloz	3
2017-10-19T13:51:40.680Z	8Ge0xZihzw	2017-10-19T13:51:40.680Z	eebc72933a714498	1	Peligroso	3
2017-10-19T15:03:46.933Z	VHDiPiegSV	2017-10-19T15:03:46.933Z	e9d8d40f54eb35e6	5	Concurrido	8
2017-10-19T15:03:47.074Z	0PIBLnIRn5	2017-10-19T15:03:47.074Z	e9d8d40f54eb35e6	6	Lento	8
