"_created_at"	_id	_updated_at	device	end_latitude	end_longitude	start_point.0	start_point.1	trip_count	trip_start	trip_stop
2017-07-19T09:00:36.312Z	Nxh6wiX1hR	2017-10-17T14:08:26.345Z	abc123	0	0	0	0	1	2017-07-19T09:21:14.386Z	2017-07-19T09:41:00.000Z
2017-10-14T16:03:30.586Z	rcA9M3yDsx	2017-10-17T15:29:06.213Z	43719b7c983f3578			0	0	1	2017-10-14T12:05:09.799Z	2017-10-14T16:03:28.585Z
2017-10-16T16:58:05.615Z	Z0HDOOxXgI	2017-10-17T15:29:06.945Z	43719b7c983f3578			0	0	2	2017-10-16T16:03:54.906Z	2017-10-16T16:55:33.016Z
2017-10-16T21:56:54.766Z	1QCyvPcSVU	2017-10-17T15:29:07.529Z	83096d9071a83343			0	0	1	2017-10-16T21:56:49.619Z	2017-10-16T21:57:01.102Z
2017-10-16T21:57:12.790Z	kd2YDjO3hg	2017-10-17T15:29:08.260Z	83096d9071a83343			0	0	2	2017-10-16T21:57:06.203Z	2017-10-16T21:57:19.173Z
2017-10-17T09:37:21.197Z	MfJUB1Kafr	2017-10-17T15:29:08.878Z	83096d9071a83343			0	0	3	2017-10-17T09:37:16.473Z	2017-10-17T09:37:28.388Z
2017-10-17T09:37:45.295Z	FA1CCT0skv	2017-10-17T15:29:09.722Z	83096d9071a83343			0	0	4	2017-10-17T09:37:44.079Z	2017-10-17T09:37:52.508Z
2017-10-17T09:37:49.075Z	iSrrAEDruj	2017-10-17T15:29:10.880Z	83096d9071a83343			0	0	5	2017-10-17T09:37:52.758Z	2017-10-17T09:37:56.293Z
2017-10-17T14:17:02.282Z	wm2fuxjtd5	2017-10-17T14:17:02.282Z	43719b7c983f3578	39.993896	-0.0737829	-0.07389199733734131	39.99390411376953	3	2017-10-17T13:33:39.021Z	2017-10-17T14:16:59.797Z
2017-10-17T16:25:56.978Z	prGDouxTnI	2017-10-17T16:25:56.978Z	9735960789aa8b49	-999	-999	0	0	1	2017-10-17T16:25:04.137Z	2017-10-17T16:25:59.461Z
2017-10-18T08:19:23.306Z	QhPhlFbK9A	2017-10-18T08:19:23.306Z	43719b7c983f3578	-999	-999	0	0	4	2017-10-18T07:53:35.586Z	2017-10-18T08:19:30.748Z
2017-10-18T09:07:08.487Z	ZUr1jXsk0V	2017-10-18T09:07:08.487Z	756256df825745c	-999	-999	0	0	1	2017-10-18T09:04:19.724Z	2017-10-18T09:05:33.480Z
2017-10-18T09:09:15.248Z	gwaUHiNO3p	2017-10-18T09:09:15.248Z	756256df825745c	0	0	0	0	2	2017-10-18T09:08:46.384Z	2017-10-18T09:09:01.820Z
2017-10-18T09:14:25.371Z	HkS5yOjZui	2017-10-18T09:14:25.371Z	756256df825745c	0	0	0	0	3	2017-10-18T09:09:26.732Z	2017-10-18T09:11:53.077Z
2017-10-18T09:14:42.055Z	4SPUoiiar4	2017-10-18T09:14:42.055Z	14a96735022e788e	-999	-999	0	0	1	2017-10-19T09:09:39.321Z	2017-10-19T09:10:59.028Z
