device,start_time,trip_count,end_time,point_count,length_raw,length_sim,dif_length
11adcf0f63a00175,2017-10-19 07:08:49.631000,2,2017-10-19 07:10:12.276000,4,289.738,289.738,0
11adcf0f63a00175,2017-10-19 13:01:41.581000,3,2017-10-19 13:10:43.884000,25,1446.344,1441.942,4
11adcf0f63a00175,2017-10-19 13:21:18.944000,4,2017-10-19 15:36:19.210000,475,39854.689,39834.642,20
11adcf0f63a00175,2017-10-20 15:36:10.089000,6,2017-10-20 16:40:38.640000,82,2147.610,2142.739,5
11adcf0f63a00175,2017-10-22 06:04:50.963000,7,2017-10-22 09:45:37.926000,279,33274.671,33240.883,34
11adcf0f63a00175,2017-10-22 10:37:23.469000,8,2017-10-22 11:25:16.171000,72,1899.030,1857.775,41
11adcf0f63a00175,2017-10-22 10:37:23.469000,8,2017-10-22 11:25:16.171000,72,1899.030,1857.775,41
11adcf0f63a00175,2017-10-23 05:19:06.814000,9,2017-10-23 05:28:14.673000,20,1678.770,1678.758,0
11adcf0f63a00175,2017-10-24 05:29:03.291000,10,2017-10-24 05:34:38.682000,22,1376.793,1376.326,0
11adcf0f63a00175,2017-10-24 13:01:16.511000,11,2017-10-24 13:07:24.617000,20,1406.522,1390.377,16
11adcf0f63a00175,2017-10-25 13:18:47.865000,12,2017-10-25 13:25:55.371000,23,2142.107,2099.980,42
11adcf0f63a00175,2017-10-26 05:29:58.413000,13,2017-10-26 05:36:45.409000,22,1482.276,1479.633,3
11adcf0f63a00175,2017-10-26 08:30:21.104000,14,2017-10-26 08:37:37.825000,14,1580.408,1580.408,0
11adcf0f63a00175,2017-10-26 10:03:01.155000,16,2017-10-26 10:10:37.501000,17,1550.648,1542.004,9
11adcf0f63a00175,2017-10-26 19:19:33.302000,17,2017-10-26 19:56:11.237000,59,2131.879,2082.512,49
11adcf0f63a00175,2017-10-27 05:26:46.837000,18,2017-10-27 05:45:20.503000,32,2035.944,2027.270,9
11adcf0f63a00175,2017-10-27 13:02:58.214000,19,2017-10-27 13:09:59.280000,16,1534.091,1528.676,5
11adcf0f63a00175,2017-10-27 13:45:32.791000,20,2017-10-27 16:36:19.091000,317,36896.686,36870.723,26
11adcf0f63a00175,2017-10-29 06:58:14.686000,21,2017-10-29 11:01:06.221000,353,36007.137,35958.487,49
11adcf0f63a00175,2017-10-30 06:15:09.530000,22,2017-10-30 06:22:25.490000,17,1539.044,1538.841,0
11adcf0f63a00175,2017-10-30 06:24:03.281000,23,2017-10-30 06:36:11.589000,35,429.757,409.322,20
11adcf0f63a00175,2017-10-30 14:03:33.711000,24,2017-10-30 14:13:44.617000,18,1412.057,1406.068,6
11adcf0f63a00175,2017-10-31 13:45:41.270000,25,2017-10-31 13:50:52.824000,16,1186.301,1185.410,1
11adcf0f63a00175,2017-10-31 13:51:34.965000,26,2017-10-31 13:51:50.255000,1,0.000,0.000,0
11adcf0f63a00175,2017-10-31 14:33:36.573000,27,2017-10-31 16:44:34.699000,258,35780.401,35746.974,33
11adcf0f63a00175,2017-11-02 14:11:31.850000,28,2017-11-02 14:17:55.764000,19,1288.040,1286.465,2
11adcf0f63a00175,2017-11-07 14:21:18.227000,30,2017-11-07 16:40:12.406000,475,37078.514,37016.216,62
11adcf0f63a00175,2017-11-08 06:38:28.792000,31,2017-11-08 06:46:13.588000,27,1607.264,1600.347,7
11adcf0f63a00175,2017-11-09 14:21:17.459000,32,2017-11-09 16:38:42.096000,422,36722.558,36680.868,42
11adcf0f63a00175,2017-11-27 21:08:58.319000,34,2017-11-27 21:28:49.134000,80,1024.125,1002.411,22
14a96735022e788e,2017-10-19 09:28:47.168000,2,2017-10-19 09:53:47.676000,50,3787.059,3697.111,90
14a96735022e788e,2017-10-19 09:54:31.434000,3,2017-10-19 13:29:53.163000,2,0.000,0.000,0
14a96735022e788e,2017-10-19 18:18:52.045000,4,2017-10-19 18:31:14.366000,35,1458.211,1422.920,35
14a96735022e788e,2017-10-23 16:09:58.506000,5,2017-10-23 17:25:29.326000,159,2707.927,2619.754,88
14a96735022e788e,2017-10-25 14:17:38.594000,6,2017-10-25 15:45:48.809000,281,23102.128,23025.172,77
14a96735022e788e,2017-10-26 08:17:22.301000,7,2017-10-26 08:37:52.061000,40,3429.785,3425.768,4
14a96735022e788e,2017-10-26 09:17:42.388000,8,2017-10-26 09:44:35.536000,71,3049.290,3002.335,47
1c64e79ce9eea54d,2017-10-20 18:58:34.649000,2,2017-10-20 19:50:54.322000,138,7752.136,7686.535,66
1c64e79ce9eea54d,2017-10-20 22:19:16.965000,3,2017-10-21 08:10:26.256000,149,8308.794,8278.842,30
1c64e79ce9eea54d,2017-10-21 12:10:13.172000,4,2017-10-21 12:34:40.423000,118,2821.533,2808.493,13
1c64e79ce9eea54d,2017-10-23 07:05:55.556000,5,2017-10-23 07:43:49.518000,66,9165.623,9161.072,5
1c64e79ce9eea54d,2017-10-23 09:29:52.072000,6,2017-10-23 10:22:38.228000,136,7542.404,7417.879,125
