"";"participant";"device";"text";"X_created_at";"X_id";"X_updated_at";"tag_count";"trip_count";"category";"sentiment_polarity";"text_en";"questionnaire1";"application_install";"questionnaire_2";"estimuli";"city";"group";"campaign_day"
"1";1;"1adf6bdbbb6f317b";"Sanft";"2017-09-08T15:08:17.347Z";"X3gTlIvrJ5";"2017-09-08T15:08:17.347Z";7;5;NA;NA;NA;"2017-09-05T11:45:00.000Z";"2017-09-05T12:20:00.000Z";"2017-09-22T14:00:00.000Z";"N";"Münster";"Collaboration";4
"2";1;"1adf6bdbbb6f317b";"Schnell";"2017-09-05T10:25:30.910Z";"UwHnC30bS7";"2017-09-05T10:25:30.910Z";3;1;NA;NA;NA;"2017-09-05T11:45:00.000Z";"2017-09-05T12:20:00.000Z";"2017-09-22T14:00:00.000Z";"N";"Münster";"Collaboration";1
"3";1;"1adf6bdbbb6f317b";"good";"2017-09-08T15:08:17.169Z";"ErNKHt8DmP";"2017-09-08T15:08:17.169Z";6;5;NA;NA;NA;"2017-09-05T11:45:00.000Z";"2017-09-05T12:20:00.000Z";"2017-09-22T14:00:00.000Z";"N";"Münster";"Collaboration";4
"4";1;"1adf6bdbbb6f317b";"Gefährlich";"2017-09-05T10:31:13.042Z";"ScgUm28Tnm";"2017-09-05T10:31:13.042Z";4;2;NA;NA;NA;"2017-09-05T11:45:00.000Z";"2017-09-05T12:20:00.000Z";"2017-09-22T14:00:00.000Z";"N";"Münster";"Collaboration";1
"5";1;"1adf6bdbbb6f317b";"Schnell";"2017-09-13T19:00:38.708Z";"n7sJdmfQYJ";"2017-09-13T19:00:38.708Z";10;9;NA;NA;NA;"2017-09-05T11:45:00.000Z";"2017-09-05T12:20:00.000Z";"2017-09-22T14:00:00.000Z";"N";"Münster";"Collaboration";9
"6";1;"1adf6bdbbb6f317b";"Pendeln ";"2017-09-05T10:25:30.656Z";"7juFVQgYuT";"2017-09-05T10:25:30.656Z";2;1;NA;NA;NA;"2017-09-05T11:45:00.000Z";"2017-09-05T12:20:00.000Z";"2017-09-22T14:00:00.000Z";"N";"Münster";"Collaboration";1
"7";1;"1adf6bdbbb6f317b";"test max";"2017-09-13T15:16:43.162Z";"MFXIIP9uZU";"2017-09-13T15:16:43.162Z";9;7;NA;NA;NA;"2017-09-05T11:45:00.000Z";"2017-09-05T12:20:00.000Z";"2017-09-22T14:00:00.000Z";"N";"Münster";"Collaboration";9
"8";1;"1adf6bdbbb6f317b";"Gefährlich";"2017-09-05T10:25:30.477Z";"KDyrQ6MVyh";"2017-09-05T10:25:30.477Z";1;1;NA;NA;NA;"2017-09-05T11:45:00.000Z";"2017-09-05T12:20:00.000Z";"2017-09-22T14:00:00.000Z";"N";"Münster";"Collaboration";1
"9";1;"1adf6bdbbb6f317b";"Inspirierend";"2017-09-08T15:08:17.491Z";"Jb2Q7YttfV";"2017-09-08T15:08:17.491Z";8;5;NA;NA;NA;"2017-09-05T11:45:00.000Z";"2017-09-05T12:20:00.000Z";"2017-09-22T14:00:00.000Z";"N";"Münster";"Collaboration";4
"10";1;"1adf6bdbbb6f317b";"Schnell";"2017-09-05T10:31:13.331Z";"7y5A3pKIgX";"2017-09-05T10:31:13.331Z";5;2;NA;NA;NA;"2017-09-05T11:45:00.000Z";"2017-09-05T12:20:00.000Z";"2017-09-22T14:00:00.000Z";"N";"Münster";"Collaboration";1
"11";2;"14571aeb92ef00fd";"Normal";"2017-09-16T12:55:51.571Z";"fiIuayRkje";"2017-09-16T12:55:51.571Z";18;14;"Speed ";"Neutral ";"Normal";"2017-09-06T17:15:00.000Z";"2017-09-06T17:30:00.000Z";"2017-09-21T14:45:00:00.000Z";"Y";"Münster";"Competition";11
"12";2;"14571aeb92ef00fd";"Average";"2017-09-09T18:59:20.986Z";"qWYYqUpLKw";"2017-09-09T18:59:20.986Z";8;8;"Speed ";"Neutral ";"Average";"2017-09-06T17:15:00.000Z";"2017-09-06T17:30:00.000Z";"2017-09-21T14:45:00:00.000Z";"Y";"Münster";"Competition";4
"13";2;"14571aeb92ef00fd";"Normal";"2017-09-18T19:42:19.532Z";"daINPdw9iy";"2017-09-18T19:42:19.532Z";20;15;"Speed ";"Neutral ";"Normal";"2017-09-06T17:15:00.000Z";"2017-09-06T17:30:00.000Z";"2017-09-21T14:45:00:00.000Z";"Y";"Münster";"Competition";13
"14";2;"14571aeb92ef00fd";"Time-consuming";"2017-09-08T19:29:58.066Z";"NMo3BiBefy";"2017-09-08T19:29:58.066Z";3;6;"Speed ";"Negative";"Time-consuming";"2017-09-06T17:15:00.000Z";"2017-09-06T17:30:00.000Z";"2017-09-21T14:45:00:00.000Z";"Y";"Münster";"Competition";3
"15";2;"14571aeb92ef00fd";"Brake-intensive";"2017-09-18T19:42:26.691Z";"RLWtq4AGFj";"2017-09-18T19:42:26.691Z";20;15;"Speed ";"Negative";"Brake-intensive";"2017-09-06T17:15:00.000Z";"2017-09-06T17:30:00.000Z";"2017-09-21T14:45:00:00.000Z";"Y";"Münster";"Competition";13
"16";2;"14571aeb92ef00fd";"Risky";"2017-09-08T17:08:04.401Z";"2sUYaxladw";"2017-09-08T17:08:04.401Z";1;5;"Safety";"Negative";"Risky";"2017-09-06T17:15:00.000Z";"2017-09-06T17:30:00.000Z";"2017-09-21T14:45:00:00.000Z";"Y";"Münster";"Competition";3
